"transcript","20200717-NSP1-HEK-1-setB","20200717-NSP1-HEK-2-setB","20200717-NSP1-HEK-3-setB","20200717-NSP2-HEK-1-setB","20200717-NSP2-HEK-2-setB","20200717-NSP2-HEK-3-setB"
"ACTR1A-201",92,104,63,99,164,114
"ACTR1B-201",18,15,15,33,32,27
"ACTR2-201",153,182,116,240,295,224
"ACTR3-201",131,190,129,218,262,191
"ACTR3B-201",22,20,18,22,24,12
"ACTR3C-201",0,0,0,0,0,0
"ACTR5-201",30,17,19,21,27,20
"ACTR6-201",22,55,37,47,69,45
"ACTR8-201",40,57,24,50,76,61
"ACTRT1-201",0,0,0,0,0,0
"ACTRT2-201",0,0,0,0,0,0
"ACTRT3-201",2,6,3,3,4,6
"ACVR1-201",9,13,15,18,23,6
"ACVR1B-201",18,40,23,37,36,27
"ACVR1C-201",0,1,0,0,1,1
"ACVR2A-201",21,17,23,24,25,24
"ACVR2B-201",43,45,25,71,70,71
"ACVRL1-201",0,0,0,0,1,1
"ACY1-215",7,11,5,15,14,20
"ACY3-201",0,0,0,0,0,0
"ACYP1-201",7,8,1,9,9,18
"ACYP2-202",0,0,0,0,0,2
"AD000671.1-201",0,0,0,0,0,0
"AD000671.2-201",1,0,1,0,0,1
"ADA-201",16,12,9,18,25,15
"ADA2-204",0,0,0,0,0,0
"ADAD1-201",0,0,0,0,0,0
"ADAD2-201",0,0,0,0,0,0
"ADAL-202",13,20,8,18,18,11
"ADAM10-201",49,71,43,85,90,74
"ADAM11-201",13,20,17,16,16,19
"ADAM12-202",0,0,0,0,3,1
"ADAM15-203",57,61,25,75,61,68
"ADAM17-203",48,59,38,60,81,87
"ADAM18-201",0,0,0,0,0,0
"ADAM19-201",13,23,12,25,24,22
"ADAM2-201",0,0,0,0,0,0
"ADAM20-201",0,0,1,0,0,0
"ADAM21-201",1,0,1,1,2,0
"ADAM22-205",22,23,15,22,42,38
"ADAM23-201",68,97,44,103,100,105
"ADAM28-201",2,1,0,0,1,0
"ADAM29-213",0,0,0,1,0,0
"ADAM30-201",0,0,0,0,1,0
"ADAM32-201",1,4,0,2,0,1
"ADAM33-202",0,0,0,0,1,0
"ADAM7-201",0,0,0,0,0,0
"ADAM8-202",0,1,1,0,3,8
"ADAM9-209",138,179,91,186,201,213
"ADAMDEC1-201",0,0,0,0,0,0
"ADAMTS1-201",156,175,101,233,263,189
"ADAMTS10-201",6,3,3,5,7,6
"ADAMTS12-203",0,0,0,0,5,2
"ADAMTS13-206",6,12,4,10,17,9
"ADAMTS14-201",0,0,0,0,2,0
"ADAMTS15-201",3,4,6,9,5,7
"ADAMTS16-201",0,0,0,0,0,0
"ADAMTS17-201",24,16,12,14,20,14
"ADAMTS18-201",1,1,0,2,3,1
"ADAMTS19-205",19,26,10,19,28,25
"ADAMTS2-201",15,29,9,33,19,33
"ADAMTS20-201",11,10,10,9,12,12
"ADAMTS3-201",21,22,11,27,28,26
"ADAMTS4-202",2,1,1,0,1,0
"ADAMTS5-201",7,7,2,1,3,2
"ADAMTS6-203",6,7,4,4,14,2
