"transcript","20200717-NSP1-HEK-1-setB","20200717-NSP1-HEK-2-setB","20200717-NSP1-HEK-3-setB","20200717-NSP2-HEK-1-setB","20200717-NSP2-HEK-2-setB","20200717-NSP2-HEK-3-setB"
"ADAMTS7-201",9,9,5,5,7,4
"ADAMTS8-201",2,0,0,1,1,2
"ADAMTS9-210",30,45,18,61,39,62
"ADAMTSL1-205",0,0,0,0,2,1
"ADAMTSL2-201",0,0,1,0,0,0
"ADAMTSL3-201",0,6,1,3,0,4
"ADAMTSL4-201",0,1,3,3,3,5
"ADAMTSL5-201",3,2,3,0,5,0
"ADAP1-201",13,6,14,17,17,21
"ADAP2-201",8,10,4,10,4,14
"ADAR-202",499,618,421,635,812,598
"ADARB1-201",18,22,12,15,22,17
"ADARB2-203",1,1,0,0,1,1
"ADAT1-201",26,42,26,31,53,27
"ADAT2-201",22,28,18,27,20,22
"ADAT3-201",2,11,2,3,6,5
"ADCK1-201",21,11,5,19,35,19
"ADCK2-201",31,51,21,72,76,35
"ADCK5-201",3,7,2,9,7,6
"ADCY1-201",38,42,27,42,42,31
"ADCY10-202",4,1,0,2,7,3
"ADCY2-201",0,0,0,0,0,0
"ADCY3-201",92,103,75,109,125,102
"ADCY4-201",0,0,0,0,0,0
"ADCY5-202",0,4,3,4,2,1
"ADCY6-201",29,46,38,44,45,35
"ADCY7-202",13,9,9,17,22,15
"ADCY8-201",0,0,0,0,0,0
"ADCY9-201",136,179,111,170,180,137
"ADCYAP1-203",0,0,0,0,0,0
"ADCYAP1R1-201",8,2,2,5,4,12
"ADD1-204",131,159,106,220,227,197
"ADD2-201",93,122,66,145,143,124
"ADD3-202",70,71,59,83,98,79
"ADGB-205",0,0,0,0,0,0
"ADGRA1-202",0,0,0,0,0,0
"ADGRA2-202",21,27,31,30,50,20
"ADGRA3-202",84,106,68,82,105,92
"ADGRB1-202",4,11,10,19,20,6
"ADGRB2-201",55,15,20,51,46,24
"ADGRB3-202",14,31,22,27,35,18
"ADGRD1-201",0,0,0,1,2,1
"ADGRD2-207",0,0,0,0,2,0
"ADGRE1-202",0,1,0,0,0,0
"ADGRE2-201",0,0,0,0,0,0
"ADGRE3-201",0,0,0,0,1,0
"ADGRE5-201",8,18,11,18,25,19
"ADGRF1-203",0,0,0,0,0,0
"ADGRF2-202",0,0,0,0,0,0
"ADGRF3-202",1,0,0,0,0,0
"ADGRF4-201",0,0,0,0,1,0
"ADGRF5-202",2,1,0,3,2,0
"ADGRG1-255",0,0,1,0,1,0
"ADGRG2-205",0,1,1,1,6,5
"ADGRG3-201",0,0,0,0,0,0
"ADGRG4-203",0,2,0,0,2,0
"ADGRG5-201",0,0,0,0,0,0
"ADGRG6-204",12,4,4,17,24,15
"ADGRG7-201",1,0,0,0,0,0
"ADGRL1-202",171,201,125,222,241,186
"ADGRL2-211",175,216,106,178,239,197
"ADGRL3-204",84,66,52,81,89,93
"ADGRL4-201",0,0,0,0,0,0
"ADGRV1-201",78,94,51,55,76,67
"ADH1A-201",0,0,0,0,0,0
"ADH1B-201",0,0,0,0,0,0
"ADH1C-204",0,0,0,0,0,0
"ADH4-201",0,0,0,0,0,0
"ADH5-201",113,133,74,171,197,138
"ADH6-201",0,0,0,1,0,0
"ADH7-202",0,0,0,0,0,1
"ADHFE1-203",0,0,0,0,0,0
"ADI1-201",70,65,45,68,104,73
"ADIG-204",0,0,0,0,0,0
"ADIPOQ-202",0,0,0,0,0,0
"ADIPOR1-201",104,127,79,147,182,152
"ADIPOR2-201",22,45,17,54,51,35
"ADIRF-201",0,0,0,0,0,0
"ADK-201",38,51,21,36,83,81
"ADM-206",6,7,6,9,11,4
"ADM2-202",0,0,0,3,1,1
"ADM5-201",0,1,3,0,2,0
"ADNP-202",252,296,166,240,363,277
"ADNP2-201",106,102,71,87,89,91
"ADO-201",35,44,25,44,32,37
"ADORA1-204",0,3,0,0,1,1
"ADORA2A-213",0,0,0,0,0,0
"ADORA2B-201",14,24,8,6,30,15
"ADORA3-201",0,0,0,0,0,0
"ADPGK-201",56,78,56,60,83,65
"ADPRH-204",1,0,3,0,0,0
"ADPRHL1-202",2,6,1,2,2,7
"ADPRHL2-201",25,19,14,32,25,26
"ADPRM-201",4,9,6,12,22,17
"ADRA1A-204",0,0,0,0,0,0
"ADRA1B-201",2,0,1,0,0,1
"ADRA1D-201",1,0,0,0,0,2
"ADRA2A-201",0,0,0,1,0,0
"ADRA2B-201",0,0,0,1,0,0
"ADRA2C-201",8,6,4,12,14,8
"ADRB1-201",2,1,0,1,2,4
"ADRB2-201",5,2,4,8,6,3
"ADRB3-201",0,1,0,0,0,0
"ADRM1-204",180,161,116,189,241,194
"ADSL-208",43,28,24,38,44,30
"ADSS-201",115,119,79,114,120,125
"ADSSL1-201",1,2,4,6,5,2
"ADTRP-203",0,0,0,0,0,0
"AEBP1-201",0,0,1,0,0,1
"AEBP2-204",65,71,39,63,66,65
"AEN-201",36,58,38,44,66,47
"AES-202",37,62,31,64,66,64
"AF241726.2-201",0,0,0,0,0,0
"AFAP1-201",22,26,22,32,47,40
"AFAP1L1-201",8,18,9,21,37,22
"AFAP1L2-201",5,2,2,2,2,3
"AFDN-203",570,653,462,724,770,654
"AFF1-201",167,162,119,175,229,162
"AFF2-205",95,109,66,106,115,106
"AFF3-203",34,37,17,28,35,36
"AFF4-201",223,278,161,299,374,307
"AFG1L-201",4,5,6,11,13,9
"AFG3L2-201",164,209,116,224,259,180
"AFM-201",0,0,1,0,0,0
"AFMID-202",10,11,6,14,23,11
"AFP-202",0,0,1,0,0,0
"AFTPH-202",41,67,37,71,78,51
"AGA-201",8,14,6,27,12,11
"AGAP1-202",75,78,44,83,100,78
"AGAP2-201",3,6,5,7,19,9
"AGAP3-202",155,135,117,140,208,130
"AGAP4-203",1,0,1,2,1,4
"AGAP5-201",12,6,6,8,10,4
"AGAP6-202",23,18,10,29,11,10
"AGAP9-201",19,23,14,25,27,18
"AGBL1-205",0,0,1,0,0,0
"AGBL2-203",0,0,0,0,0,0
"AGBL3-203",5,3,0,3,2,2
"AGBL4-204",0,0,0,0,1,0
"AGBL5-202",141,141,107,166,208,168
"AGER-207",2,1,1,3,2,0
"AGFG1-201",69,102,37,67,111,89
"AGFG2-201",1,5,6,11,10,6
"AGGF1-201",14,10,8,12,18,15
"AGK-201",94,103,60,107,124,154
"AGL-201",152,149,86,156,179,157
"AGMAT-201",4,3,1,2,2,2
"AGMO-201",1,0,0,0,0,0
"AGO1-201",112,122,81,106,136,121
"AGO2-201",218,240,169,237,283,247
"AGO3-203",35,50,28,47,55,53
"AGO4-201",28,38,21,46,44,35
"AGPAT1-206",23,10,12,18,26,18
"AGPAT2-202",19,40,23,37,34,36
"AGPAT3-205",50,57,30,53,68,43
"AGPAT4-201",10,13,11,20,25,27
"AGPAT5-201",45,66,26,49,54,48
"AGPS-201",147,193,116,162,232,192
"AGR2-203",0,0,0,0,0,0
"AGR3-201",0,0,0,0,0,0
"AGRN-201",72,63,47,85,80,73
"AGRP-201",0,0,0,0,0,0
"AGT-201",0,0,0,0,0,0
"AGTPBP1-205",140,160,82,168,169,152
"AGTR1-209",1,2,0,1,1,1
"AGTR2-201",0,0,0,0,0,0
"AGTRAP-201",11,9,10,12,12,6
"AGXT-201",0,0,1,0,0,0
"AGXT2-201",0,0,0,0,0,0
"AHCTF1-201",311,331,183,308,359,330
"AHCY-201",128,149,90,201,241,211
"AHCYL1-202",111,122,95,209,188,180
"AHCYL2-201",29,36,18,34,64,49
"AHDC1-202",26,46,31,38,34,28
"AHI1-204",60,70,45,69,90,85
"AHNAK-201",1,6,4,2,3,1
"AHNAK2-201",32,41,30,41,43,36
"AHR-201",4,4,0,3,3,0
"AHRR-201",18,13,11,17,14,14
"AHSA1-201",266,302,177,341,432,366
"AHSG-202",0,0,0,0,0,0
"AHSP-201",0,0,0,0,0,0
"AICDA-201",0,0,0,0,0,2
"AIDA-201",21,60,31,68,58,57
"AIF1-203",0,0,1,0,0,0
"AIF1L-201",2,13,5,14,12,6
"AIFM1-201",236,260,199,351,461,350
"AIFM2-204",4,5,5,6,5,4
"AIFM3-202",1,0,0,0,1,0
"AIG1-202",38,38,23,67,71,62
"AIM2-202",0,0,0,0,0,0
"AIMP1-203",104,131,89,140,155,151
"AIMP2-201",99,106,62,112,147,109
"AIP-201",64,67,41,81,104,67
"AIPL1-203",0,0,0,0,1,0
"AIRE-201",0,0,0,0,1,0
"AJAP1-202",0,0,0,0,0,0
"AJM1-201",4,3,3,2,4,7
"AJUBA-201",24,18,4,19,25,9
"AK1-203",0,0,0,0,0,0
"AK2-201",116,112,71,138,176,174
"AK3-202",12,23,8,25,30,21
"AK4-202",27,34,14,55,66,43
"AK5-203",2,2,0,2,4,2
"AK6-202",33,38,25,40,46,57
"AK7-201",4,5,1,8,5,5
"AK8-201",2,5,1,1,6,3
"AK9-204",4,13,8,5,8,6
"AKAIN1-201",0,0,0,0,0,0
"AKAP1-219",205,222,130,192,269,219
"AKAP10-201",51,58,43,69,61,65
"AKAP11-201",170,182,95,161,220,175
"AKAP12-201",708,788,500,1002,1143,1019
"AKAP13-201",193,260,166,270,305,282
"AKAP14-204",0,0,0,0,0,0
"AKAP17A-201",127,158,97,149,156,126
"AKAP2-203",1,0,1,6,1,0
"AKAP3-201",2,4,0,2,13,3
"AKAP4-201",0,0,0,0,1,0
"AKAP5-202",10,9,6,8,10,15
"AKAP6-201",12,5,13,11,11,2
"AKAP7-204",9,8,12,14,19,12
"AKAP8-201",106,120,89,106,178,111
"AKAP8L-201",105,124,69,133,137,115
"AKAP9-201",194,210,116,243,275,208
"AKIP1-203",10,22,16,25,19,15
"AKIRIN1-202",46,66,38,64,64,56
"AKIRIN2-201",60,97,41,98,125,116
"AKNA-202",5,14,3,24,26,18
"AKNAD1-203",0,0,0,0,1,0
"AKR1A1-202",31,47,21,52,59,33
"AKR1B1-201",85,125,86,144,150,150
"AKR1B10-201",0,0,0,0,0,0
"AKR1B15-202",0,0,0,0,0,0
"AKR1C1-202",0,0,0,1,0,0
"AKR1C2-201",0,0,0,0,0,0
"AKR1C3-201",0,0,0,1,0,0
"AKR1C4-202",0,0,0,0,0,0
"AKR1C8P-203",0,0,0,0,0,0
"AKR1D1-201",0,0,0,0,1,0
"AKR1E2-201",0,0,0,0,0,0
"AKR7A2-201",48,68,29,69,93,68
"AKR7A3-201",4,2,3,5,3,2
"AKT1-208",126,130,84,134,163,149
"AKT1S1-205",38,62,54,50,76,61
"AKT2-206",93,125,70,95,106,89
"AKT3-201",106,110,66,129,129,139
"AKTIP-202",6,8,4,10,6,14
"AL020996.2-202",0,0,0,0,0,0
"AL021546.1-201",1,0,0,0,0,0
"AL021997.3-201",0,0,0,0,0,0
"AL022238.4-201",2,0,0,0,1,3
"AL022312.1-201",0,0,0,0,0,0
"AL022318.4-201",0,0,0,0,0,0
"AL024498.2-201",0,0,0,0,0,0
"AL031281.2-201",6,14,5,16,18,22
"AL031315.1-201",1,2,0,0,3,1
"AL031708.1-201",0,0,0,0,0,0
"AL031777.3-203",0,0,0,0,0,0
"AL031847.2-201",0,0,0,0,0,0
"AL032819.3-201",0,0,0,0,0,0
"AL033529.1-201",0,0,0,1,4,0
"AL034430.1-201",0,0,0,0,0,0
"AL034430.2-201",0,0,0,0,0,0
"AL035078.4-202",0,0,0,1,0,0
"AL035425.2-201",1,1,2,2,1,6
"AL035460.1-201",0,0,0,0,0,0
"AL049557.1-202",0,0,0,0,0,0
"AL049629.2-201",0,0,0,0,0,0
"AL049634.2-203",0,0,0,0,0,0
"AL049650.1-201",0,1,2,0,0,0
"AL049697.1-201",0,0,0,0,0,0
"AL049839.2-201",0,0,0,0,0,0
"AL049844.1-201",0,0,0,0,0,0
"AL049844.3-201",0,0,0,0,0,0
"AL080251.1-201",0,0,0,0,0,0
"AL096711.2-201",0,0,0,0,0,0
"AL096814.1-202",0,0,0,0,0,0
"AL096870.1-201",0,0,0,0,0,0
"AL109811.4-201",0,0,0,0,0,0
"AL109827.1-203",0,0,0,0,0,0
"AL117339.5-201",0,0,0,0,0,0
"AL117348.2-201",0,1,1,0,0,0
"AL121578.2-201",0,0,0,0,0,0
"AL121594.1-201",0,0,0,0,0,0
"AL121722.1-201",0,0,0,0,0,0
"AL121753.1-201",0,0,0,0,0,0
"AL121758.1-201",0,0,0,1,1,0
"AL132780.3-201",0,0,0,0,0,0
"AL133352.1-203",0,0,0,0,0,0
"AL133353.2-201",0,0,0,0,0,0
"AL133410.3-201",0,0,0,0,0,0
"AL135905.2-201",1,2,1,4,2,2
"AL136295.1-201",0,0,0,0,0,0
"AL136295.4-201",0,0,0,0,0,0
"AL136295.5-201",0,0,0,0,0,0
"AL136373.1-201",0,0,0,0,1,0
"AL136454.1-201",0,0,1,0,0,0
"AL136531.2-202",0,0,0,0,0,1
"AL138752.2-201",0,0,0,0,0,0
"AL139011.2-202",0,1,0,0,0,0
"AL139142.2-201",0,0,0,0,0,0
"AL139300.1-201",0,0,0,0,0,0
"AL139353.1-202",0,0,0,0,3,0
"AL157392.5-201",0,0,0,0,0,0
"AL157935.2-201",0,0,0,0,0,0
"AL159163.1-201",0,0,0,0,3,0
"AL160269.1-203",0,0,0,0,0,0
"AL160272.2-202",0,0,0,0,0,0
"AL162231.1-201",3,2,1,1,1,2
"AL162377.3-201",0,0,0,0,0,0
"AL162417.1-201",0,0,0,0,0,0
"AL162596.1-201",0,0,0,0,0,0
"AL163195.3-201",0,0,0,0,0,0
"AL163636.2-201",0,0,0,0,0,0
"AL353572.3-201",0,0,0,0,0,0
"AL353588.1-201",0,0,0,0,0,0
"AL354761.1-202",0,0,0,0,0,0
"AL355102.2-201",0,0,0,0,0,0
"AL355312.5-201",0,0,0,0,0,0
"AL355315.1-201",0,0,0,0,0,0
"AL355916.2-201",0,0,0,0,0,0
"AL355987.1-201",0,0,0,0,0,0
"AL355987.3-201",1,1,1,3,3,4
"AL357673.1-201",0,0,0,0,1,0
"AL358075.4-201",0,0,0,0,0,0
"AL358113.1-203",0,0,1,2,2,0
"AL358472.6-201",0,0,0,0,0,0
"AL358472.7-201",0,0,0,0,0,0
"AL359736.1-201",15,4,5,4,10,8
"AL359922.1-201",0,0,1,0,0,0
"AL360181.3-201",0,0,0,0,0,0
"AL365205.1-203",0,0,0,0,0,0
"AL365232.1-201",0,0,0,0,0,0
"AL365273.2-201",0,0,0,0,0,0
"AL391650.1-201",0,0,0,0,0,0
"AL445238.1-201",0,0,0,0,0,0
"AL445685.3-201",0,0,0,0,0,0
"AL445989.1-201",0,0,0,0,0,0
"AL451007.3-201",0,0,0,0,0,2
"AL451062.3-201",0,0,0,0,0,0
"AL512428.1-201",0,0,0,0,0,0
"AL512506.3-201",0,0,0,0,0,0
"AL513165.2-203",6,2,1,10,3,5
"AL583836.1-201",1,1,0,0,0,0
"AL589666.1-201",5,10,6,5,11,9
"AL590132.1-201",0,0,0,0,0,0
"AL590764.2-203",0,0,0,0,0,0
"AL591806.3-201",2,0,0,2,0,1
"AL592490.1-201",0,0,0,0,0,0
"AL645922.1-201",0,0,0,0,0,0
"AL662820.1-202",0,0,0,0,0,0
"AL662899.1-201",0,0,0,0,0,0
"AL662899.2-201",0,0,0,0,0,0
"AL672043.1-201",0,0,0,0,0,0
"AL691442.1-201",0,0,0,0,0,0
"AL713999.1-201",0,0,0,0,0,0
"AL772284.2-201",0,0,0,0,0,0
"AL807752.6-202",0,0,0,0,0,0
"AL807752.7-201",0,0,0,0,0,0
"AL845331.2-201",0,0,0,0,0,0
"AL928654.3-201",0,0,0,0,0,0
"AL929554.1-201",0,0,0,0,0,0
"ALAD-201",3,12,3,7,12,5
"ALAS1-202",90,120,61,106,140,106
"ALAS2-201",0,0,0,0,1,0
"ALB-201",1,0,0,0,0,0
"ALCAM-201",52,66,39,66,89,75
"ALDH16A1-201",19,17,14,22,35,26
"ALDH18A1-202",148,212,144,263,344,251
"ALDH1A1-201",3,4,1,3,8,6
"ALDH1A2-201",50,43,39,74,108,65
"ALDH1A3-201",0,1,3,4,1,8
"ALDH1B1-201",69,97,60,93,118,76
"ALDH1L1-203",0,0,1,0,0,4
"ALDH1L2-201",53,65,52,131,143,129
"ALDH2-201",20,38,15,55,59,51
"ALDH3A1-206",0,1,0,1,1,1
"ALDH3A2-201",40,56,42,62,88,84
"ALDH3B1-201",0,0,0,0,0,1
"ALDH3B2-201",0,0,0,0,0,0
"ALDH4A1-202",1,0,2,3,0,4
"ALDH5A1-201",17,25,21,34,38,23
"ALDH6A1-202",11,25,9,33,25,21
"ALDH7A1-201",119,161,93,175,219,168
"ALDH8A1-201",7,6,3,2,2,3
"ALDH9A1-201",90,111,69,154,137,137
"ALDOA-202",36,43,31,81,80,69
"ALDOB-201",0,0,0,1,0,0
"ALDOC-201",10,5,1,19,20,7
"ALG1-201",31,20,12,30,34,24
"ALG10-201",9,4,7,7,5,13
"ALG10B-201",1,8,2,2,6,14
"ALG11-202",13,9,8,16,9,10
"ALG12-201",18,38,19,31,37,43
"ALG13-203",86,101,73,137,160,172
"ALG14-201",16,16,9,23,30,29
"ALG1L-201",0,1,2,1,2,2
"ALG1L2-201",0,1,1,1,0,1
"ALG2-203",34,55,30,26,35,26
"ALG3-201",97,142,82,138,172,139
"ALG5-201",16,24,20,27,33,30
"ALG6-202",14,16,10,19,19,18
"ALG8-201",37,48,20,50,57,59
"ALG9-215",0,0,0,0,0,0
"ALK-201",0,0,2,1,0,0
"ALKAL1-201",2,0,1,2,3,2
"ALKAL2-204",0,0,0,0,0,0
"ALKBH1-201",33,25,10,34,39,19
"ALKBH2-202",35,42,18,48,51,46
"ALKBH3-201",39,48,30,62,90,74
"ALKBH4-201",27,23,12,14,10,13
"ALKBH5-201",163,190,109,207,208,164
"ALKBH6-202",13,8,8,14,19,14
"ALKBH7-201",15,13,17,19,33,24
"ALKBH8-205",50,55,31,43,48,49
"ALLC-201",3,0,0,0,1,1
"ALMS1-206",303,411,243,337,392,376
"ALOX12-201",2,3,7,0,2,1
"ALOX12B-205",0,0,0,1,0,0
"ALOX15-202",3,7,2,2,1,2
"ALOX15B-202",0,0,0,0,0,1
"ALOX5-201",2,0,1,1,4,3
"ALOX5AP-201",0,0,0,0,0,0
"ALOXE3-203",1,4,1,3,1,0
"ALPG-201",0,0,0,0,0,0
"ALPI-201",0,0,0,1,0,0
"ALPK1-203",7,9,5,9,12,15
"ALPK2-201",0,0,0,3,1,0
"ALPK3-201",5,8,13,17,19,9
"ALPL-204",6,5,4,8,6,10
"ALPP-201",0,0,0,0,0,0
"ALS2-201",52,75,34,82,132,90
"ALS2CL-201",3,0,0,3,5,0
"ALS2CR12-203",4,1,3,9,7,3
"ALX1-201",29,34,17,27,26,31
"ALX3-201",1,0,1,0,1,0
"ALX4-201",23,18,12,13,23,15
"ALYREF-202",206,255,124,217,295,282
"AMACR-202",2,5,0,1,3,1
"AMBN-201",2,1,0,5,4,1
"AMBP-201",0,0,0,0,0,0
"AMBRA1-201",68,61,39,75,72,71
"AMD1-204",134,144,81,162,245,153
"AMDHD1-201",0,1,1,0,0,0
"AMDHD2-201",13,19,7,11,14,10
"AMELX-203",0,0,0,0,0,0
"AMELY-201",0,0,0,0,0,0
"AMER1-201",41,40,35,54,41,45
"AMER2-202",1,0,0,0,2,0
"AMER3-202",0,0,0,0,0,0
"AMFR-201",58,93,56,83,127,98
"AMH-201",13,13,10,19,11,12
"AMHR2-201",1,1,2,2,3,1
"AMIGO1-202",12,12,6,8,5,13
"AMIGO2-201",1,3,1,0,0,5
"AMIGO3-201",0,0,0,0,0,0
"AMMECR1-201",28,25,21,27,39,30
"AMMECR1L-201",15,24,13,20,36,19
"AMN-201",0,0,1,0,0,0
"AMN1-201",3,3,1,6,4,4
"AMOT-201",656,726,500,730,999,742
"AMOTL1-203",161,207,117,204,250,222
"AMOTL2-201",28,35,27,52,40,35
"AMPD1-203",0,1,0,0,0,0
"AMPD2-219",69,86,63,91,97,89
"AMPD3-203",0,3,0,1,1,0
"AMPH-202",10,18,6,28,28,17
"AMT-201",0,0,0,0,2,0
"AMTN-201",0,0,0,0,0,0
"AMY1A-201",0,0,0,0,0,0
"AMY1B-201",0,0,0,0,0,0
"AMY1C-201",0,0,0,0,0,0
"AMY2A-204",0,0,0,0,0,0
"AMY2B-201",1,0,0,1,1,0
"AMZ1-201",0,0,0,0,0,0
"AMZ2-202",92,143,93,120,155,116
"ANAPC1-201",253,310,174,321,396,363
"ANAPC10-217",9,12,9,11,10,7
"ANAPC11-211",14,18,7,15,29,19
"ANAPC13-204",5,4,6,8,4,9
"ANAPC15-201",64,65,46,74,82,71
"ANAPC16-205",2,10,4,7,13,12
"ANAPC2-201",55,49,38,33,53,51
"ANAPC4-201",68,63,38,78,75,56
"ANAPC5-201",218,245,162,291,314,296
"ANAPC7-203",111,169,100,143,142,118
"ANG-201",0,0,1,0,0,0
"ANGEL1-201",34,33,39,38,55,49
"ANGEL2-202",28,38,33,74,72,45
"ANGPT1-202",1,0,0,2,0,3
"ANGPT2-201",0,0,0,0,0,0
"ANGPT4-201",0,0,0,0,1,0
"ANGPTL1-201",0,0,0,3,1,1
"ANGPTL2-202",0,0,0,0,0,0
"ANGPTL3-201",1,1,1,0,2,0
"ANGPTL4-201",1,4,0,3,0,0
"ANGPTL5-201",0,0,0,0,0,0
"ANGPTL6-201",0,0,0,1,2,0
"ANGPTL7-201",1,1,1,0,1,0
"ANGPTL8-204",0,0,0,0,0,0
"ANHX-202",0,0,0,0,0,0
"ANK1-205",5,7,8,11,14,13
"ANK2-202",54,69,37,108,118,108
"ANK3-201",56,67,58,99,127,69
"ANKAR-209",2,12,7,4,4,2
"ANKDD1A-201",0,0,0,1,1,0
"ANKDD1B-204",1,4,0,0,0,0
"ANKEF1-201",12,11,6,17,7,17
"ANKFN1-201",1,2,0,0,0,0
"ANKFY1-209",144,124,83,109,172,116
"ANKH-201",33,40,20,47,57,46
"ANKHD1-203",0,1,0,1,0,0
"ANKHD1-EIF4EBP3-203",1,3,2,1,4,1
"ANKIB1-201",57,57,26,48,79,66
"ANKK1-201",1,2,0,0,1,0
"ANKLE1-201",0,3,0,0,0,1
"ANKLE2-201",222,252,163,241,292,247
"ANKMY1-201",11,14,5,10,7,6
"ANKMY2-201",23,33,25,25,39,40
"ANKRA2-201",10,7,6,14,19,21
"ANKRD1-201",1,0,0,2,2,3
"ANKRD10-201",24,18,14,39,34,30
"ANKRD11-218",72,59,35,66,80,66
"ANKRD12-201",64,71,37,81,103,80
"ANKRD13A-201",33,38,23,51,72,43
"ANKRD13B-201",62,67,36,57,77,47
"ANKRD13C-202",42,50,25,58,62,58
"ANKRD13D-211",21,28,13,14,29,26
"ANKRD16-203",27,19,18,17,23,24
"ANKRD17-202",705,799,547,765,956,794
"ANKRD18A-201",28,33,22,38,39,25
"ANKRD18B-201",51,69,41,64,61,73
"ANKRD2-202",0,0,0,2,0,0
"ANKRD20A1-201",0,0,0,0,1,0
"ANKRD20A2-201",0,0,0,0,0,0
"ANKRD20A3-201",0,0,0,0,0,0
"ANKRD20A4-201",0,0,1,3,3,1
"ANKRD22-201",0,0,0,0,0,0
"ANKRD23-201",4,4,0,7,5,3
"ANKRD24-206",11,6,0,3,4,4
"ANKRD26-201",133,148,78,163,190,149
"ANKRD27-201",60,88,57,87,109,80
"ANKRD28-201",76,88,53,67,99,95
"ANKRD29-208",4,4,1,1,6,2
"ANKRD30A-201",0,0,0,0,0,0
"ANKRD30B-202",1,0,1,0,1,0
"ANKRD30BL-202",0,1,0,1,0,0
"ANKRD31-201",10,5,4,11,7,6
"ANKRD33-202",0,0,0,0,0,0
"ANKRD33B-201",9,6,6,14,15,8
"ANKRD34A-201",4,8,6,7,6,10
"ANKRD34B-201",8,6,2,2,1,5
"ANKRD34C-201",0,2,0,0,1,0
"ANKRD35-201",1,0,2,0,2,0
"ANKRD36-201",41,70,35,37,65,31
"ANKRD36B-201",23,20,7,23,25,17
"ANKRD36C-202",51,53,47,52,56,38
"ANKRD37-201",1,2,1,2,5,0
"ANKRD39-201",7,3,12,11,11,4
"ANKRD40-201",95,118,66,106,131,92
"ANKRD40CL-204",0,0,0,0,0,0
"ANKRD42-209",4,5,3,5,16,8
"ANKRD44-201",10,15,6,13,15,13
"ANKRD45-201",0,0,0,0,0,0
"ANKRD46-205",9,17,7,9,11,8
"ANKRD49-210",3,9,9,20,14,5
"ANKRD50-201",95,134,74,105,109,100
"ANKRD52-201",113,102,78,85,114,92
"ANKRD53-201",0,0,0,1,1,0
"ANKRD54-201",35,38,24,33,47,41
"ANKRD55-201",0,1,0,0,0,1
"ANKRD6-204",38,37,22,44,49,49
"ANKRD60-201",0,0,0,0,0,1
"ANKRD61-201",2,2,0,3,3,2
"ANKRD62-202",0,0,0,0,0,0
"ANKRD63-201",0,0,0,0,0,1
"ANKRD65-205",0,1,0,0,0,0
"ANKRD66-202",0,0,0,0,0,0
"ANKRD7-201",0,0,0,0,2,2
"ANKRD9-201",16,16,16,13,21,15
"ANKS1A-201",109,135,70,123,184,140
"ANKS1B-211",0,7,3,6,5,3
"ANKS3-201",21,24,9,16,20,17
"ANKS4B-201",3,0,0,0,0,0
"ANKS6-201",75,87,67,102,115,87
"ANKUB1-202",0,0,0,0,0,0
"ANKZF1-201",41,49,22,59,86,70
"ANLN-201",224,272,143,313,313,319
"ANO1-202",0,0,0,3,3,1
"ANO10-201",27,27,21,28,45,27
"ANO2-202",0,0,1,6,0,0
"ANO3-201",1,0,0,0,1,1
"ANO4-202",10,6,8,10,8,12
"ANO5-201",31,37,42,50,44,32
"ANO6-201",43,76,34,88,95,91
"ANO7-201",1,1,1,0,2,0
"ANO8-201",19,20,12,13,27,16
"ANO9-201",0,0,0,0,0,0
"ANOS1-201",0,1,0,0,0,0
"ANP32A-203",299,346,205,346,375,323
"ANP32B-201",815,966,582,1175,1246,1043
"ANP32D-201",0,0,0,0,0,1
"ANP32E-208",389,466,300,497,522,503
"ANPEP-201",1,0,3,2,4,1
"ANTXR1-201",37,39,27,35,72,41
"ANTXR2-203",22,20,22,26,30,21
"ANTXRL-205",0,0,0,0,0,0
"ANXA1-202",2,2,0,5,6,10
"ANXA10-201",0,0,0,0,0,0
"ANXA11-205",112,148,87,153,183,156
"ANXA13-201",0,0,0,0,0,0
"ANXA2-202",49,69,63,95,113,95
"ANXA2R-201",0,5,1,1,3,1
"ANXA3-201",0,0,0,3,4,8
"ANXA4-201",16,7,10,10,19,21
"ANXA5-201",151,175,97,206,242,185
"ANXA6-201",233,278,207,353,439,324
"ANXA7-201",91,95,76,105,146,109
"ANXA8-205",0,0,0,0,0,0
"ANXA8L1-204",0,0,0,0,0,0
"ANXA9-201",0,3,1,2,0,0
"AOAH-211",0,0,0,0,1,0
"AOC1-207",0,0,0,0,0,0
"AOC2-201",2,4,3,3,3,3
"AOC3-201",5,1,4,0,1,1
"AOX1-202",1,1,0,0,1,2
"AP000350.4-201",0,0,0,0,0,0
"AP000721.1-201",0,0,0,0,1,0
"AP000812.4-201",0,1,0,0,0,0
"AP000812.5-202",0,0,0,0,0,0
"AP000944.2-201",0,0,0,0,0,0
"AP001267.5-202",0,0,0,0,0,0
"AP001273.2-201",0,0,0,0,0,0
"AP001458.2-201",0,0,0,0,0,0
"AP001781.2-201",1,0,0,0,0,0
"AP001931.1-201",0,0,0,0,0,0
"AP002373.1-201",0,1,0,0,0,0
"AP002495.1-204",1,4,0,3,0,0
"AP002512.3-201",0,1,1,0,2,2
"AP002748.4-201",0,0,0,0,0,0
"AP002884.3-202",0,0,0,0,0,0
"AP002990.1-202",0,0,0,0,0,1
"AP003071.5-201",0,0,0,0,0,0
"AP003419.1-201",0,0,0,0,0,0
"AP1AR-201",45,59,37,60,61,66
